Unlimited_Data,Streaming_TV,Streaming_Music,Streaming_Movies,Premium_Tech_Support,Number_of_Referrals,Tenure_in_Months,Total_Charges,Monthly_Charge,Total_Long_Distance_Charges,Customer_Status
1,0,0,0,0,2,67,1688.9,26.3,974.18,0
1,0,0,0,0,1,29,1442.0,51.6,1091.85,0
1,0,0,0,0,0,24,1558.65,64.35,1116.96,0
1,1,1,1,1,10,71,6263.8,86.85,717.81,0
1,0,0,0,0,0,1,44.55,44.55,23.04,0
1,0,0,0,0,5,64,1584.8,25.0,435.84,0
1,0,0,0,0,4,71,1389.35,19.9,867.62,0
1,1,0,1,0,0,5,198.0,45.7,0.0,1
1,0,0,0,0,0,1,20.25,20.25,23.16,1
1,0,0,0,0,0,7,497.3,69.9,216.93,0
1,0,0,0,0,5,29,558.8,20.2,998.76,0
1,0,1,1,0,3,13,816.8,63.15,509.6,0
0,1,1,1,0,0,7,673.25,99.8,329.21,1
1,0,1,0,0,0,13,670.65,52.1,249.21,0
1,0,0,0,0,0,67,1430.95,20.5,3169.77,0
0,1,0,0,0,0,54,5121.75,94.75,2033.1,0
1,1,1,1,0,1,69,7446.9,103.95,2566.8,1
1,1,0,0,0,0,42,3541.35,84.65,400.26,1
1,0,0,0,0,0,47,2654.05,55.3,1186.75,0
0,0,0,0,0,0,12,480.6,44.55,61.92,1
1,0,0,0,0,0,44,845.25,20.05,2091.32,0
1,0,0,0,0,1,71,1663.5,23.9,2088.11,0
1,1,0,0,0,0,3,161.45,57.55,144.9,0
1,0,0,0,0,0,15,299.4,19.6,598.05,0
1,0,1,1,0,0,7,602.55,85.2,131.81,1
1,0,0,0,0,9,56,3389.25,59.5,1990.8,0
1,0,0,0,0,0,1,76.35,76.35,7.26,1
1,1,1,1,1,4,68,6392.85,92.2,2609.84,0
1,1,1,1,1,1,70,5289.8,76.95,1278.2,0
1,0,0,0,0,10,39,790.0,20.45,1419.21,0
1,0,0,0,0,6,53,1039.45,19.85,601.55,0
1,1,0,0,0,0,1,36.45,36.45,0.0,1
1,0,0,0,0,2,16,313.4,19.75,511.84,0
1,0,0,0,0,1,17,1214.05,70.4,232.56,1
0,0,0,0,1,7,56,4275.75,76.85,1543.36,0
1,1,0,0,0,1,14,937.6,65.45,638.4,1
1,1,1,1,0,0,1,101.45,101.45,10.38,1
1,0,0,0,0,8,16,1321.3,80.75,736.0,0
1,0,0,0,0,0,1,45.4,45.4,49.33,0
1,0,1,1,1,0,45,3062.45,70.05,830.7,0
1,0,0,1,0,9,64,6081.4,94.25,1493.12,0
1,1,0,0,0,1,7,587.1,86.25,312.62,1
1,0,1,1,1,0,9,576.95,68.25,290.79,0
1,0,1,1,0,0,16,1218.25,78.75,632.32,0
1,0,0,0,0,9,46,967.85,19.4,2185.0,0
1,0,0,0,1,6,23,1414.2,59.7,317.17,0
0,0,0,0,0,4,35,2416.55,70.3,365.05,1
1,1,1,1,0,1,57,5921.35,104.5,2287.41,1
1,0,0,0,0,0,16,762.25,50.15,228.16,1
1,1,1,1,0,0,14,1415.55,100.55,517.58,1
1,1,1,1,0,1,62,6283.3,100.15,3011.96,1
1,1,0,1,0,0,1,89.3,89.3,30.23,1
0,1,1,1,1,8,43,2640.55,60.4,0.0,0
0,0,1,1,1,1,14,1208.35,89.65,106.68,1
1,0,0,0,0,1,29,1974.8,70.75,325.96,1
1,0,0,0,0,10,16,301.55,19.7,114.24,0
0,0,0,0,0,8,44,2722.2,61.5,1974.28,0
1,0,0,0,0,6,28,1410.25,49.9,1159.48,0
0,0,0,0,0,0,39,1131.3,30.1,0.0,1
1,0,1,1,1,0,69,5031.0,74.1,921.84,0
1,0,0,0,0,0,30,1653.85,55.65,1411.8,0
1,1,0,0,1,0,30,2044.75,70.4,972.3,0
1,1,0,1,0,0,2,196.75,93.85,50.38,1
1,1,0,1,0,0,45,4459.8,100.15,310.5,0
1,0,1,1,1,0,10,629.55,60.95,83.5,0
1,1,1,1,0,8,71,7412.25,104.1,311.69,0
1,0,0,0,0,4,24,688.0,29.1,0.0,0
1,0,0,0,0,1,17,409.9,24.1,310.42,1
1,0,0,0,0,1,1,75.35,75.35,38.89,0
1,1,1,1,0,0,64,6692.65,104.4,2932.48,0
0,0,0,0,1,0,15,438.25,29.7,0.0,1
1,0,0,0,0,10,6,113.5,19.45,9.42,0
1,0,0,0,0,0,4,280.85,73.9,134.6,1
1,0,0,1,0,0,38,3147.15,83.45,129.96,0
1,0,0,0,0,0,18,1387.0,74.15,78.84,0
1,0,0,0,0,0,2,144.8,74.75,87.12,0
1,1,0,1,1,5,52,5481.25,104.45,2028.0,0
1,0,1,1,1,0,47,3496.3,74.05,2146.49,0
1,0,0,0,0,0,9,706.6,74.75,148.32,1
1,1,1,1,1,0,66,4136.4,62.5,0.0,0
1,0,0,0,0,3,5,125.5,25.05,0.0,0
1,0,0,0,0,1,3,60.65,19.65,91.02,0
1,1,1,1,1,0,35,4025.5,108.95,702.45,0
1,0,0,0,0,0,1,50.5,50.5,39.58,1
1,0,1,1,1,6,50,4042.2,80.05,2459.0,0
1,1,1,1,1,1,71,5662.25,80.45,1887.18,0
1,0,0,0,0,0,21,402.85,20.5,690.69,0
1,0,1,1,1,0,20,1370.35,68.9,455.0,0
1,1,1,1,1,10,64,6654.1,102.45,2591.36,0
0,0,0,0,1,0,15,864.55,55.2,24.45,0
1,0,0,0,0,4,72,1857.85,25.1,2564.64,0
1,0,0,0,0,0,2,42.9,20.4,99.06,0
0,1,1,1,1,0,54,4299.95,80.6,1980.72,0
1,0,0,0,0,0,7,340.35,48.2,73.71,0
1,1,1,1,1,1,68,6302.85,90.8,804.44,0
1,1,1,1,1,0,16,1511.2,94.45,150.88,1
1,0,0,0,0,9,55,3068.6,58.6,364.65,0
1,0,0,0,0,2,61,2961.4,49.7,2613.85,0
1,1,0,0,1,0,54,3886.05,72.1,2453.22,0
1,0,0,0,0,0,1,44.0,44.0,13.4,0
1,0,0,0,0,0,2,98.5,45.15,12.94,1
1,0,0,0,0,1,47,1139.2,25.4,473.29,0
1,1,0,0,0,0,53,4517.25,85.45,870.79,1
1,0,0,0,0,1,22,488.25,20.25,829.4,0
1,0,0,0,0,1,8,125.0,19.6,107.44,0
1,0,0,0,0,0,72,1789.9,25.1,170.64,0
1,0,0,0,0,1,1,70.45,70.45,15.28,1
1,1,1,1,0,0,1,100.25,100.25,20.23,1
1,0,0,0,0,0,1,74.5,74.5,13.61,1
1,0,0,0,0,0,6,335.65,55.7,18.96,0
1,0,0,0,0,0,1,71.65,71.65,17.54,1
1,0,0,0,0,0,64,1198.05,20.05,319.36,0
1,1,1,1,1,1,50,5071.05,103.7,1707.0,1
0,1,0,0,0,1,7,582.5,86.5,158.27,1
1,0,0,0,0,0,19,439.2,24.1,275.12,0
1,0,0,0,0,1,22,471.55,20.45,457.16,0
1,0,1,1,0,0,1,85.0,85.0,30.52,1
1,1,1,1,0,0,71,3985.35,56.45,0.0,0
1,0,0,0,0,0,36,2659.45,74.9,1496.52,0
1,1,1,1,0,2,70,7397.0,106.5,415.1,0
0,1,1,1,0,1,21,1157.05,55.95,0.0,1
1,0,0,0,0,3,66,1714.55,25.7,2827.44,0
1,1,0,1,0,0,42,4323.45,104.75,681.24,1
1,1,1,1,0,0,52,3038.55,58.75,0.0,0
1,0,0,0,0,0,29,572.2,19.8,1337.48,0
1,0,0,0,1,0,51,2356.75,47.85,1866.09,0
1,0,0,0,0,0,49,2934.3,59.75,1757.63,1
0,1,1,1,0,0,10,794.25,72.15,337.5,1
1,0,0,0,0,0,15,331.6,19.6,592.35,0
0,0,0,0,0,1,1,70.0,70.0,19.15,1
1,1,0,0,0,0,70,3011.65,44.05,0.0,0
1,0,0,0,0,1,8,160.05,19.8,226.96,0
1,0,0,1,0,1,15,1345.55,85.6,678.75,1
1,0,0,0,0,1,3,228.0,74.1,48.87,1
1,0,0,0,0,5,35,821.6,24.3,660.1,0
1,1,0,0,0,0,55,5238.9,96.75,2698.3,1
1,0,0,0,0,0,9,185.6,18.95,447.66,1
1,1,0,1,0,0,8,780.5,101.35,351.84,1
1,0,0,0,0,0,34,2416.1,70.0,158.44,1
1,0,0,0,0,1,53,1146.05,20.9,2316.63,0
1,0,0,0,0,0,10,524.5,51.65,490.4,0
1,1,0,0,1,10,50,3486.65,70.5,2224.5,0
1,0,1,1,1,9,56,5608.4,99.75,1149.68,0
1,1,0,0,0,0,19,1775.8,88.2,759.43,1
1,0,0,0,0,0,1,24.9,24.9,0.0,0
1,0,0,0,0,0,1,70.85,70.85,27.05,1
1,0,1,1,0,0,1,35.9,35.9,0.0,1
1,1,0,1,1,0,56,6418.9,111.95,1089.76,1
1,1,1,1,0,1,47,4749.15,99.35,1473.45,1
1,1,0,1,1,7,66,7051.95,107.35,518.76,0
1,1,1,1,1,5,72,6316.2,85.15,2329.92,0
1,0,0,0,0,0,10,735.5,70.15,42.9,0
1,0,0,0,0,5,55,2838.55,51.65,1624.15,0
1,0,0,0,0,0,9,678.45,74.05,357.93,0
1,0,0,0,0,0,2,145.15,69.65,15.28,1
1,0,0,0,0,4,62,1416.75,23.65,552.42,0
1,0,1,1,0,0,22,903.6,43.75,0.0,1
1,1,1,1,1,8,63,6705.7,110.1,200.34,0
1,0,0,0,0,0,1,19.6,19.6,5.36,1
0,0,0,1,0,0,2,159.4,79.75,79.26,1
1,0,0,0,0,0,3,53.05,19.1,48.96,0
1,1,0,1,0,1,4,347.65,99.6,75.64,1
0,0,0,0,0,1,6,365.35,55.9,87.06,1
1,0,0,0,0,0,15,311.6,19.75,52.35,0
1,0,0,0,0,0,17,681.4,44.6,221.34,0
1,0,1,1,1,0,26,1652.4,66.05,314.34,0
1,0,0,0,0,5,8,139.75,21.05,344.4,0
1,1,1,1,0,0,9,811.65,94.05,139.77,0
1,0,0,0,0,7,65,3673.15,55.15,1299.35,0
1,0,0,0,0,0,27,2093.4,76.1,1071.09,0
1,0,0,0,0,0,13,253.8,19.95,95.29,0
1,1,1,1,1,4,72,7711.45,109.2,3170.16,0
1,1,0,0,0,0,2,163.7,83.8,65.96,0
1,1,0,1,0,9,17,1614.7,-4.0,65.11,0
1,0,1,1,1,0,14,1054.8,76.1,514.22,0
1,0,1,1,0,0,1,79.7,79.7,33.88,1
1,1,1,1,1,0,9,571.45,69.4,150.93,0
1,1,0,1,1,0,72,7943.45,111.65,3226.32,0
1,0,0,0,0,0,1,19.85,19.85,29.1,0
1,0,0,0,0,0,53,1050.5,19.5,1281.01,0
1,0,0,0,0,9,8,158.35,20.25,39.84,0
1,1,0,1,0,3,72,5899.85,84.45,1203.84,0
1,0,0,0,0,0,19,1297.8,60.6,693.12,0
1,0,0,1,0,0,5,502.6,89.8,181.8,1
0,0,0,0,1,0,31,2724.25,87.6,1268.52,0
1,1,1,1,1,0,60,4847.05,80.55,966.6,0
1,0,0,0,0,0,3,63.75,19.85,77.25,1
1,0,0,0,0,0,11,216.2,19.7,493.68,0
1,0,0,0,0,8,29,1025.15,35.65,0.0,0
0,0,0,0,1,2,23,1940.8,86.8,382.49,0
0,1,0,1,1,1,43,4533.9,107.55,595.12,1
1,0,0,0,0,0,38,2597.6,70.45,1280.98,1
0,1,0,0,0,0,3,267.6,79.25,149.28,1
1,0,0,0,0,9,20,442.6,20.35,849.2,0
1,1,0,0,0,1,14,1235.55,86.1,101.64,1
1,1,1,1,0,2,41,4162.05,104.45,403.85,0
1,0,0,0,1,0,67,4250.1,64.55,1934.96,0
1,0,1,1,0,0,9,723.4,79.55,408.69,1
1,1,0,1,0,0,30,3121.1,104.1,1257.9,0
1,1,1,1,1,0,59,3005.8,51.7,0.0,0
1,0,1,1,1,4,4,229.55,61.45,108.96,1
1,1,0,0,0,9,16,1024.0,64.25,372.96,0
1,0,0,0,0,0,11,245.15,25.2,20.57,0
0,1,0,1,0,3,60,2907.55,49.45,0.0,0
1,1,1,1,0,2,63,6603.0,103.4,3083.85,1
1,0,0,0,0,10,72,1414.65,19.8,2796.48,0
1,0,0,0,0,0,6,469.8,74.9,37.92,1
1,0,0,0,0,1,11,214.75,19.95,324.94,1
1,0,1,1,0,3,9,769.1,79.75,61.02,0
1,1,1,1,1,7,71,6045.9,86.1,391.21,0
1,0,1,1,1,5,43,3173.35,71.9,2068.3,0
1,1,1,1,1,2,62,6825.65,108.15,109.12,0
1,1,0,0,1,0,38,2497.35,70.15,218.5,1
1,0,0,0,0,0,11,824.75,74.55,59.4,1
1,1,1,1,0,2,67,3281.65,50.9,0.0,0
1,0,0,0,0,0,54,1008.7,19.65,1388.88,0
1,1,1,1,1,7,71,8078.1,115.15,670.24,0
1,0,0,0,1,5,65,3857.1,58.9,2230.15,0
1,0,0,0,0,7,72,1849.2,-7.0,2878.56,0
1,0,0,0,0,0,1,19.9,19.9,36.63,1
1,1,1,1,1,5,56,5953.0,109.6,780.64,0
1,0,0,0,1,6,48,1423.05,29.5,0.0,0
1,1,0,0,0,0,7,586.05,79.7,202.44,1
1,0,0,0,0,3,15,284.3,20.05,568.5,0
1,0,0,0,0,1,35,809.25,-9.0,478.45,0
1,1,0,0,0,0,13,1028.9,81.9,444.34,0
1,0,0,0,0,0,4,68.8,19.55,116.36,0
1,0,0,0,0,0,7,174.7,20.25,348.81,0
0,1,1,1,1,10,68,6161.9,88.0,2958.68,0
1,1,1,1,0,0,5,550.6,105.3,223.25,0
1,0,1,1,0,0,15,892.65,59.45,545.1,1
1,0,0,0,1,0,28,961.4,35.75,0.0,0
1,0,1,1,1,1,37,3754.6,99.2,1115.92,1
0,1,1,1,0,5,65,6725.3,104.3,856.05,0
1,0,0,0,0,0,4,268.35,70.15,117.6,1
1,0,0,0,0,0,1,19.65,19.65,42.42,0
1,0,0,0,0,1,62,4983.05,81.45,2459.54,0
1,0,0,0,0,10,70,1782.05,25.4,653.1,0
1,0,0,0,0,2,71,1801.9,25.95,1754.41,0
1,0,1,1,0,3,13,734.35,55.95,247.65,1
1,0,0,0,0,0,1,19.55,19.55,8.23,0
1,0,0,0,0,0,9,186.15,20.25,23.4,0
1,1,1,1,1,6,51,5686.4,110.05,1363.23,0
1,0,0,0,0,0,11,321.05,25.2,0.0,0
0,0,0,0,1,1,55,3046.4,57.55,484.0,1
1,1,1,1,1,7,47,5317.8,113.45,431.93,0
1,1,1,1,0,8,71,6962.85,98.65,2465.12,0
1,0,0,0,0,0,12,212.3,19.35,206.76,0
1,0,1,1,0,1,17,1451.6,85.45,811.92,1
1,0,0,0,0,0,38,730.1,20.1,844.74,0
1,1,0,1,1,8,65,6767.1,103.9,102.7,0
1,0,0,0,0,0,17,946.95,56.1,619.99,0
0,0,0,0,1,0,19,1046.5,55.0,81.7,1
1,1,0,0,0,0,35,2010.55,55.0,1712.55,1
1,0,1,1,1,2,38,2669.45,69.0,1220.18,0
1,0,0,0,0,1,48,1604.5,34.7,0.0,1
1,1,0,0,0,10,55,5099.15,90.4,1240.8,0
1,0,0,0,0,6,14,309.35,19.75,377.86,0
1,1,1,1,0,1,54,5278.15,104.3,1914.84,1
1,0,1,1,0,1,45,4456.65,95.95,1003.95,0
1,0,0,0,0,1,30,637.55,19.05,341.4,0
1,1,1,1,1,2,72,6151.9,85.95,789.84,0
1,1,1,1,1,10,24,1712.9,74.4,788.64,0
1,0,1,1,1,1,2,190.05,90.0,93.84,1
0,0,0,0,0,2,4,294.2,70.5,113.88,0
1,1,1,1,1,3,27,2204.35,80.85,319.41,0
1,1,1,1,0,6,24,1367.75,57.6,0.0,0
1,0,0,0,0,0,67,1195.95,19.45,606.35,0
1,0,0,0,0,0,17,1207.0,70.8,609.96,0
1,1,1,0,1,0,23,1943.2,90.6,889.87,1
1,1,1,1,0,0,61,6521.9,107.75,2586.4,0
1,0,0,0,0,0,9,184.1,20.4,412.47,0
1,1,1,1,1,5,72,7559.55,104.9,500.4,0
1,0,0,0,0,7,72,2962.0,42.1,0.0,0
0,0,1,1,0,1,32,3131.55,94.8,1387.84,0
1,1,1,1,1,4,52,5487.0,106.3,2590.64,0
1,1,0,0,0,1,42,1626.05,40.15,0.0,0
1,1,1,1,1,1,72,5893.9,84.7,1792.8,0
1,0,1,1,0,0,13,1115.2,84.6,467.48,1
1,1,1,1,1,0,72,4390.25,61.2,0.0,0
1,0,0,0,0,0,4,94.5,20.4,123.16,0
1,0,0,0,0,0,9,178.85,19.5,422.46,0
1,0,0,0,0,0,1,19.5,-10.0,32.45,1
1,0,0,0,0,0,2,104.2,54.85,51.48,1
1,0,0,0,0,0,68,3674.95,54.45,1183.88,0
1,0,0,0,0,0,22,493.4,24.85,505.34,0
1,1,1,1,0,0,49,5070.4,101.55,1217.16,0
0,1,0,1,0,0,29,2948.6,101.45,191.11,0
1,1,1,1,0,0,27,2595.25,95.6,949.59,0
1,1,0,1,1,0,71,7382.85,105.75,433.1,0
1,0,0,0,0,1,8,482.25,54.65,310.24,0
1,0,0,0,0,0,71,1813.35,25.45,294.65,0
1,0,0,0,0,0,1,46.3,46.3,11.51,0
0,0,0,0,0,0,1,77.15,77.15,27.7,1
1,0,0,0,0,0,18,331.35,19.25,563.94,0
1,1,0,0,0,3,31,3082.1,98.05,1131.19,0
1,0,0,1,1,10,33,3055.5,93.55,1469.82,0
1,0,0,0,1,1,70,4759.75,65.3,2986.9,1
1,0,0,0,0,0,3,67.1,20.75,49.17,0
0,1,1,1,1,3,45,4285.8,95.2,2160.9,0
1,0,0,0,0,4,26,493.95,20.25,635.44,0
0,1,0,1,0,8,43,4388.4,101.0,1343.75,1
1,0,0,0,1,0,29,1004.75,34.3,0.0,0
1,0,0,0,0,0,70,1411.2,20.15,1879.5,0
1,1,0,1,1,0,29,2862.75,98.65,608.42,1
0,0,0,0,0,0,27,2135.5,78.05,89.91,1
1,0,0,0,0,5,40,2379.1,56.6,1931.6,0
1,0,0,0,0,0,18,600.0,33.5,0.0,1
1,0,0,0,0,0,9,724.65,75.85,65.88,0
1,0,0,0,0,6,55,4052.4,74.0,2359.5,0
1,1,1,1,1,0,37,3475.55,98.8,1136.64,1
1,0,0,0,0,0,37,785.75,20.15,1271.69,0
1,1,1,1,1,8,72,8332.15,115.8,1986.48,0
1,0,0,0,0,5,45,1174.35,24.7,2020.95,0
1,1,0,0,0,0,3,242.05,78.5,95.64,1
1,0,1,1,0,0,2,167.3,85.85,28.28,1
1,1,1,1,0,0,13,831.75,66.4,392.47,0
1,0,0,0,0,7,27,2220.1,85.9,1109.97,0
1,1,0,0,0,0,16,664.4,38.9,0.0,0
1,0,0,0,0,10,16,275.9,19.35,205.12,0
1,1,1,1,1,3,71,4145.25,58.65,0.0,0
0,0,0,0,0,0,13,1029.35,80.0,437.97,0
1,0,0,1,0,5,22,880.2,40.05,0.0,1
0,0,0,0,1,0,66,3177.25,47.4,0.0,0
1,0,0,0,0,1,27,520.55,-9.0,1193.13,0
0,1,1,1,1,9,72,4478.85,65.25,0.0,0
1,0,0,0,0,0,10,797.25,79.85,156.0,0
0,0,1,1,1,1,72,5980.55,82.3,2108.88,0
1,1,1,1,1,0,25,1423.15,54.2,0.0,0
1,0,1,0,1,9,22,1271.8,57.95,936.76,0
1,1,1,1,0,7,58,5681.1,100.35,330.02,0
1,1,1,1,0,8,28,2799.0,100.35,216.44,0
1,0,0,0,0,0,1,20.45,20.45,11.61,0
1,0,0,0,0,1,2,113.55,56.7,11.34,1
1,1,1,1,1,1,58,3166.9,55.5,0.0,0
1,0,0,0,0,0,4,117.8,19.7,92.16,0
0,1,1,1,1,0,30,3211.9,106.4,1274.7,0
1,0,0,0,0,0,31,638.55,20.45,1071.67,0
1,1,0,1,1,2,72,6716.45,90.15,711.36,0
0,0,0,0,1,0,5,287.85,59.9,219.95,0
1,0,1,1,0,1,14,1259.0,90.9,190.96,1
0,1,0,0,1,7,35,1662.05,46.35,0.0,0
1,1,1,1,0,1,1,95.0,95.0,12.04,1
1,1,0,0,1,0,49,3199.0,66.15,870.73,0
1,0,0,0,0,0,35,2636.05,75.35,876.4,1
1,0,0,0,1,9,55,4238.45,79.4,739.75,0
1,0,0,0,0,9,41,875.55,20.65,346.04,0
0,0,0,1,0,1,46,3605.2,80.4,2236.52,1
1,0,0,0,1,3,69,2779.5,39.1,0.0,0
1,1,1,1,0,0,8,819.55,100.85,26.16,1
1,1,1,1,1,1,66,6075.9,91.7,1535.82,0
1,0,1,1,1,0,11,697.25,64.9,55.0,0
1,0,1,1,1,5,72,5661.7,79.5,2346.48,0
1,0,1,1,0,7,62,5629.55,89.8,1704.38,0
0,0,1,1,0,0,4,195.3,54.3,160.6,1
1,0,0,0,1,3,33,2018.4,61.05,524.37,0
0,0,0,0,0,0,1,45.8,-9.0,22.11,1
1,0,0,0,0,3,12,232.4,20.1,295.8,0
0,1,1,1,0,0,40,2109.35,55.8,0.0,1
1,0,0,0,0,2,71,1326.35,19.85,1195.64,0
1,1,0,0,0,8,19,1564.4,86.85,148.96,0
1,1,1,1,1,0,60,4801.1,79.0,2107.8,0
1,1,1,1,1,0,72,8192.6,112.75,2537.28,0
1,0,0,0,0,0,44,3862.55,84.8,1767.48,1
1,1,1,1,1,2,71,4145.9,58.25,0.0,0
1,0,0,0,0,0,8,170.9,19.95,366.96,0
1,0,0,0,0,3,72,1304.8,19.3,187.92,0
1,0,0,0,0,0,11,851.8,78.0,518.32,0
1,0,0,0,0,0,12,260.9,19.7,439.8,0
1,0,0,0,0,0,43,1110.05,26.45,1242.7,0
1,1,0,0,1,2,67,3623.95,54.2,0.0,0
1,0,0,0,0,1,36,720.05,20.85,453.96,0
1,0,1,1,0,0,36,3067.2,84.9,887.76,1
1,1,0,1,1,0,72,6697.35,89.85,3492.72,0
1,0,0,1,0,0,15,1424.95,89.85,64.2,1
1,0,0,0,0,0,13,357.15,29.15,0.0,0
1,0,0,0,0,4,54,1364.75,24.95,0.0,0
1,0,0,0,0,3,71,1789.65,25.45,2644.75,0
0,1,1,1,0,8,49,4690.65,94.8,1778.7,0
1,0,0,1,0,0,10,329.8,34.7,0.0,1
1,0,0,0,0,0,7,150.6,20.35,290.99,0
1,0,0,0,1,3,6,297.35,48.8,296.7,0
1,1,1,1,0,0,43,3856.75,89.55,1682.16,1
1,1,1,1,0,2,38,2862.55,78.95,519.46,0
1,0,0,0,1,4,14,664.4,48.8,298.76,0
1,1,0,1,0,10,60,5867.0,97.95,1023.0,0
1,1,1,0,0,0,1,79.05,79.05,31.34,1
1,0,0,0,1,2,4,179.35,50.05,38.68,1
1,0,0,0,0,0,1,19.75,19.75,29.33,1
1,0,0,0,0,0,27,1498.65,52.85,284.85,0
1,1,1,1,0,0,54,2966.95,55.45,0.0,0
1,0,1,1,1,8,70,3370.2,49.85,0.0,0
1,1,0,0,0,7,11,683.25,59.65,232.54,0
1,0,0,0,0,0,23,465.45,19.8,27.6,0
1,0,0,0,0,8,1,19.75,19.75,30.38,0
1,1,1,1,1,7,71,6365.35,87.95,643.26,0
1,1,1,1,0,1,18,810.7,48.35,0.0,1
1,1,1,1,1,0,12,872.65,74.05,510.96,1
1,1,0,0,1,0,23,2085.45,96.9,195.5,0
1,1,1,1,0,0,2,168.2,90.4,21.06,1
1,1,0,1,0,0,15,1400.3,91.5,593.55,0
1,0,0,0,1,3,5,259.4,55.7,94.85,0
1,0,0,0,1,0,67,3260.1,50.55,2182.86,0
1,1,1,1,0,0,12,1115.15,95.5,417.72,1
1,0,1,1,0,7,28,2433.5,89.9,926.52,0
1,0,0,0,0,4,65,1715.1,24.75,2372.5,0
0,1,1,1,1,8,72,6474.4,92.0,3116.88,0
1,1,1,1,1,1,64,7396.15,115.0,2972.16,0
1,0,0,0,1,0,24,1242.25,54.6,180.48,0
1,0,0,0,1,10,17,1096.65,62.1,548.59,0
1,0,0,0,0,0,1,21.1,21.1,18.81,0
1,1,1,1,1,1,59,4541.9,76.75,940.46,0
1,0,1,1,0,0,1,79.9,79.9,23.2,1
1,0,0,0,0,0,66,1673.8,25.3,1571.46,0
1,0,0,0,0,0,1,45.4,45.4,38.31,1
1,0,0,0,1,5,4,235.1,56.5,170.84,1
1,0,1,1,0,0,2,184.1,80.55,67.78,1
0,1,1,1,1,7,26,1959.5,73.05,606.06,0
1,1,0,0,1,0,70,5528.9,79.4,3042.2,0
1,0,0,0,1,5,66,6424.25,96.6,2412.3,0
1,1,0,0,0,3,6,460.25,82.85,51.54,1
1,0,0,0,0,1,59,1286.0,20.6,145.73,0
1,1,1,1,0,0,61,6363.45,104.0,2787.09,0
1,0,0,0,0,8,11,196.35,20.0,541.09,0
1,0,0,0,0,0,1,20.3,20.3,10.84,0
1,1,1,1,0,0,31,2979.2,94.5,1423.52,0
1,1,1,1,0,8,41,2215.4,53.95,0.0,0
1,0,0,0,1,6,31,1647.0,54.35,776.24,0
1,0,0,0,0,0,9,348.15,44.4,347.85,0
1,0,0,0,0,4,12,274.7,25.25,475.08,0
1,0,0,0,0,1,17,1463.45,85.35,625.94,1
1,0,0,0,0,0,2,87.9,46.6,3.74,0
